设备：cuda
★BC 锚开启：w=0.1  只锚 turn ≤ 70  权重来自 rl/runs/bc_ep400.pt（缺失 0 项）
（含优化器状态）
续训自 rl/runs/ppo_exec/model.pt（第 119 块）
（训练图种子接着数：0）
★地图池：802 张（难度已筛）  从第 476 张接着数
（含回报归一化状态）
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=171 | env_steps=459297 | secs=12518.400 | episodes=208 | last_spend=10888.456 | mean_spend=9488.454 | last_tiles=22.000 | last_armies=6.000 | pg=0.003 | vf=30.049 | ent=2.880 | kl=0.007 | clipfrac=0.075 | n=279 | bc_kl=0.295 | adv_mean=2.532 | adv_std=5.008
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=172 | env_steps=469833 | secs=12778.900 | episodes=212 | last_spend=16300.117 | mean_spend=10337.992 | last_tiles=29.000 | last_armies=14.000 | pg=0.009 | vf=102.274 | ent=3.221 | kl=0.011 | clipfrac=0.132 | n=330 | bc_kl=0.311 | adv_mean=1.962 | adv_std=10.050
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=173 | env_steps=478999 | secs=13001.800 | episodes=216 | last_spend=10772.688 | mean_spend=8802.916 | last_tiles=25.000 | last_armies=6.000 | pg=0.007 | vf=19.300 | ent=2.746 | kl=0.009 | clipfrac=0.092 | n=287 | bc_kl=0.301 | adv_mean=0.495 | adv_std=4.495
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=174 | env_steps=488499 | secs=13239.200 | episodes=220 | last_spend=9819.256 | mean_spend=9150.909 | last_tiles=22.000 | last_armies=6.000 | pg=0.005 | vf=61.075 | ent=2.959 | kl=0.009 | clipfrac=0.124 | n=297 | bc_kl=0.264 | adv_mean=-3.212 | adv_std=7.254
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=175 | env_steps=496995 | secs=13447.400 | episodes=224 | last_spend=6731.646 | mean_spend=9639.515 | last_tiles=18.000 | last_armies=0.000 | pg=0.005 | vf=60.349 | ent=2.735 | kl=0.007 | clipfrac=0.093 | n=266 | bc_kl=0.294 | adv_mean=-0.128 | adv_std=7.891
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=176 | env_steps=505466 | secs=13652.600 | episodes=228 | last_spend=9681.339 | mean_spend=7597.944 | last_tiles=14.000 | last_armies=1.000 | pg=0.006 | vf=80.149 | ent=2.704 | kl=0.010 | clipfrac=0.110 | n=265 | bc_kl=0.282 | adv_mean=-6.204 | adv_std=6.649
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=177 | env_steps=514289 | secs=13866.600 | episodes=232 | last_spend=7585.289 | mean_spend=9017.844 | last_tiles=22.000 | last_armies=5.000 | pg=0.005 | vf=30.303 | ent=2.781 | kl=0.009 | clipfrac=0.125 | n=276 | bc_kl=0.299 | adv_mean=1.085 | adv_std=5.542
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=178 | env_steps=522333 | secs=14064.000 | episodes=236 | last_spend=7876.984 | mean_spend=7763.110 | last_tiles=14.000 | last_armies=1.000 | pg=0.009 | vf=56.759 | ent=2.774 | kl=0.011 | clipfrac=0.149 | n=252 | bc_kl=0.298 | adv_mean=-3.859 | adv_std=6.621
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=179 | env_steps=532397 | secs=14309.500 | episodes=240 | last_spend=8396.086 | mean_spend=9927.706 | last_tiles=28.000 | last_armies=3.000 | pg=0.003 | vf=21.697 | ent=3.166 | kl=0.012 | clipfrac=0.099 | n=315 | bc_kl=0.299 | adv_mean=-1.046 | adv_std=4.669
eval_spend=11704.291 | eval_tiles=9.000 | eval_armies=4.500 | eval_s_spend=15410.128 | eval_s_tiles=19.500 | iter=180 | env_steps=542377 | secs=14549.500 | episodes=244 | last_spend=7925.098 | mean_spend=9744.680 | last_tiles=16.000 | last_armies=3.000 | pg=0.004 | vf=17.524 | ent=3.168 | kl=0.011 | clipfrac=0.107 | n=312 | bc_kl=0.290 | adv_mean=-2.547 | adv_std=3.502
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=181 | env_steps=552556 | secs=15086.000 | episodes=248 | last_spend=10511.256 | mean_spend=10131.197 | last_tiles=26.000 | last_armies=3.000 | pg=0.009 | vf=38.118 | ent=2.979 | kl=0.013 | clipfrac=0.191 | n=319 | bc_kl=0.283 | adv_mean=3.435 | adv_std=5.296
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=182 | env_steps=560785 | secs=15281.100 | episodes=252 | last_spend=8041.036 | mean_spend=7818.318 | last_tiles=17.000 | last_armies=1.000 | pg=0.007 | vf=26.036 | ent=2.789 | kl=0.014 | clipfrac=0.139 | n=258 | bc_kl=0.311 | adv_mean=-3.463 | adv_std=3.933
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=183 | env_steps=570923 | secs=15543.800 | episodes=256 | last_spend=7639.750 | mean_spend=9124.621 | last_tiles=29.000 | last_armies=4.000 | pg=0.007 | vf=72.040 | ent=3.342 | kl=0.009 | clipfrac=0.080 | n=317 | bc_kl=0.295 | adv_mean=-3.987 | adv_std=7.612
