eval_spend,eval_tiles,eval_armies,eval_s_spend,eval_s_tiles,iter,env_steps,secs,episodes,last_spend,mean_spend,last_tiles,last_armies,pg,vf,ent,kl,clipfrac,n,bc_kl,adv_mean,adv_std
nan,nan,nan,nan,nan,166,610769,15694.9,272,8118.288333333334,7821.369111111112,21.0,1.0,0.0045,17.5571,3.2255,0.0137,0.1116,322,0.2289,-3.0204,3.1073
nan,nan,nan,nan,nan,167,620398,15923.2,276,12577.059333333335,8387.006555555556,30.0,6.0,0.0064,166.2416,3.3,0.0098,0.1208,301,0.2262,-2.4479,12.7892
nan,nan,nan,nan,nan,168,634426,16273.1,280,15610.604000000003,10645.34077777778,39.0,4.0,0.0059,190.3977,3.9481,0.0083,0.1025,439,0.2381,-8.4088,11.0917
nan,nan,nan,nan,nan,169,648759,16612.3,284,7694.218000000002,8181.0756666666675,23.0,0.0,0.0076,788.359,3.833,0.0143,0.1631,448,0.2363,-16.9378,22.5611
11896.073166666667,13.0,9.5,15275.83966666666,26.0,170,661963,16921.4,288,11097.62833333333,10479.788222222222,22.0,1.0,0.0037,44.1885,3.7309,0.0086,0.0863,413,0.2225,-1.5416,6.6074
nan,nan,nan,nan,nan,171,673974,17501.0,292,9404.577333333335,9333.071333333335,25.0,3.0,0.0056,11.6722,3.6321,0.0049,0.0601,376,0.2374,0.1978,3.549
nan,nan,nan,nan,nan,172,685890,17783.0,296,10254.786666666665,8162.311666666666,23.0,2.0,0.0046,127.1555,3.5146,0.007,0.0894,373,0.2089,-4.4659,10.4942
nan,nan,nan,nan,nan,173,697372,18065.9,300,8504.837,9296.57911111111,17.0,4.0,0.0056,14.3852,3.4614,0.0087,0.0914,359,0.2121,1.1656,3.7395
nan,nan,nan,nan,nan,174,709360,18362.3,304,9449.081333333332,9788.008222222223,26.0,2.0,0.0071,16.7968,3.4745,0.0133,0.1145,375,0.2153,2.1621,3.633
nan,nan,nan,nan,nan,175,720423,18648.3,308,9058.204333333335,9894.64822222222,21.0,4.0,0.0044,24.1974,3.4234,0.0104,0.0991,346,0.1917,3.3692,3.7784
nan,nan,nan,nan,nan,176,731402,18902.4,312,9609.61066666667,8945.874222222223,21.0,1.0,0.0069,35.5402,3.4147,0.0103,0.0981,344,0.1944,0.3006,6.0913
